id,osf_title,contributors
7vbj9,Competition for novelty reduces information sampling in a research game - a registered report.,"['Leo Tiokhin', 'Maxime Derex']"
7vbtr,"Gyurkovics, Stafford, &amp; Levita: ""Cognitive control across adolescence: Dynamic adjustments and mind-wandering""","['Mate Gyurkovics', 'Tom Stafford', 'Liat Levita']"
7wd8e,Health patterns among migrant and non-migrant elderly in Europe – Analyses based on SHARE 2004-2020,['Daniel Lüdecke']
7xsfj,Using avalanche problems to examine the effect of large-scale atmosphere-ocean oscillations on avalanche hazard in western Canada---Data and Code,"['Pascal Haegeli', 'Patrick Mair', 'Bret Shandro']"
7z3mk,Exploring Content Knowledge: Country Profile of Science Strengths and Weaknesses in TIMSS. Possible Implications for Educational Professionals and Science Research,['Stephan Daus']
82dqk,"Litter origins, accumulation rates, and hierarchical composition on urban roadsides of the Inland Empire, California",['Win Cowger']
8abj4,Context Effects on Reproduced Magnitudes from Short-Term and Long-Term Memory,"['William Hayes', 'Douglas Wedell', 'Jongwan Kim']"
8akru,"Preconference ""Estimating and interpreting psychological networks in R""","['Jens Lange', 'Janis Zickfeld']"
8edp7,"Social factors, pre-existing mental disorders and distress during COVID-19",['Annika Konrad']
8fsbd,Assignment 7.1 Open Science,['Benjamin Stauch']
8fw3b,Familiar size,['Jeroen B. J. Smeets']
8fzns,Code for 'Conditioning: How background variables can influence PISA scores',['Laura Zieger']
92e6c,The energetics of uniquely human subsistence strategies,['Thomas Kraft']
938ye,Learning second language morphosyntax in dialogue under explicit and implicit conditions: An experimental study with advanced adult learners of German - Supplemetary materials,"['Eva Marie Koch', 'Johanna de Vos', 'Alex Housen', 'Aline Godfroid', 'Kristin Lemhöfer']"
94jyp,Open Science @ SoPVS,"['David Souto', 'Tamara Nicoleta Gheorghes', 'Sarah Gunn', 'Jayne Spiller (nee Trickett)', 'Mahmoud Elsherif', 'Samantha Tyler', 'Callum Hunt', 'Milena Rota', 'Faye Balcombe']"
975k3,Statistical Power and Optimal Design of RCTs Investigating Mediation Effects,['Zuchao Shen']
9e3cu,R for Chemists and Biochemists materials and resources,"['Christopher Berndsen', 'Shveta Gupta']"
9gjyc,Strategic disinformation outperforms honesty in competition for social influence,"['Ralf Kurvers', 'Uri Hertz', 'Marta Balode', 'Bertrand Jayles', 'Bahador Bahrami', 'jurgis karpus']"
9gq4a,Getting Started With R When You Know Absolutely Nothing,['Moin Syed']
9jxzs,In situ laboratory for plastic degradation in the Red Sea,"['Franz Brümmer', 'Uwe Schnepf', 'Julia Resch', 'Raouf Jemmali', 'Rahma Abdi', 'Hesham Mostafa Kamel', 'Christian Bonten', 'Ralph-Walter Müller']"
9jzfr,Construction and Initial Validation of the Worth and Value Self-Esteem Scale (WAVSES) ,"['Adam Pegler', 'Claire Hart', 'Aiden P Gregg']"
9mc84,DGPS2018 - An Introduction to Machine Learning for Psychologists in R,"['Clemens Stachl', 'Florian Pargent']"
9qbwv,Anchoring does not activate examples associated with the anchor value,['Štěpán Bahník']
9tnmv,Overcorrection for Social Categorization Information Moderates Impact Bias in Affective Forecasting,"['Tatiana Lau', 'Mina Cikara', 'Carey K. Morewedge']"
9vn68,"Familial resemblance in mental health symptoms, social and cognitive vulnerability, and personality: A study of patients with depressive and anxiety disorders and their siblings","['Eleonore van Sprang', 'Dominique Maciejewski']"
9vr6q,Expanding R Through Accessible Interactivity: Development of tidy psychological statistics modules- SIPS Grants In Aid 2023,"['Kevin Carriere', 'Jason Kilgore', 'Trinity Geedy-Gill']"
a3yd4,Cultural Diversity in Unequal Societies Sustained Through Cross-Cultural Competence and Identity Valuation,['John A. Bunce']
a6tuw,New insights into the correlation structure of DSM-IV depression symptoms in the general population versus subsamples of depressed individuals,"['Simon Foster', 'Meichun Mohler-Kuo']"
a8htx,"Early representations of social intimacy: Infants, toddlers, and children use saliva sharing as a cue of close social affiliation","['Ashley J. Thomas', 'Brandon M. Woo', 'Elizabeth Spelke', 'Daniel Nettle', 'Rebecca Saxe']"
a9bv6,spreadr: A R package to simulate spreading activation in a network,['Cynthia S. Q. Siew']
abts4,SDT Probit Models for Deception Research - R,['Mircea Zloteanu']
aczx5,"Travel and terrain advice statements in public avalanche bulletins: A quantitative analysis of who uses this information, what makes it useful, and how it can be improved for users---Data and Code","['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
ajf3h,Kbrevis (2022),['Miles Medina']
akywf,"Codes: False alarm? A comprehensive reanalysis of “Evidence that psychopathology symptom networks have limited replicability” by Forbes, Wright, Markon, and Krueger.","['Denny Borsboom', 'Eiko I. Fried', 'Sacha Epskamp', 'Lourens Waldorp', 'Claudia D. van Borkulo', 'Han van der Maas', 'Angélique Cramer']"
amd3r,"Data and code from ""Wind conditions influence breeding season movements in a nomadic polygynous shorebird""","['Johannes Krietsch', 'Mihai Valcu', 'Bart Kempenaers']"
b4gc7,"Workshop ""Estimating and interpreting psychological networks in R""",['Jens Lange']
b5ydr,Meta-Analyses of Variables Related to Instruction in Augmentative and Alternative Communication Implementation,"['James E Pustejovsky', 'J. B. Ganz', 'Kimberly Vannest', 'Sanikan Wattanawongwan']"
b7krz,Snapshots of Daily Life: Investigating Daily Situations Through the Lens of Smartphone Sensing,"['Ramona Schoedel', 'Fiona Kunz', 'Maximilian Bergmann', 'Florian Bemmann', 'Markus Bühner', 'Larissa Sust']"
bfq39,Best practice guidance for linear mixed-effects models in psychological science,"['Lotte Meteyard', 'Rob Davies']"
bhrwx,Raising awareness about social exclusion in schools through experiential learning,"['Erdem Ozan Meral', 'Ilja van Beest', 'Cana Karaduman']"
bkuwa,"Exploring the Effect of Social Distance on Medium Preferences in Interpersonal Communication: A Replication of Amit, Wakslak and Trope (2013, Experiment 2)","['Timothy J. Luke', 'Karl Ask', 'Ebba Magnusson', 'Sofia Calderon', 'Erik Mac Giolla']"
c8vfj,Social group membership does not modulate automatic imitation in a contrastive multi-agent paradigm,"['Emiel Cracco', 'Laura De Souter', 'Senne Braem', 'Marcel Brass', 'Oliver Genschow']"
c93vs,Dissertation: Natürliche Geräusche und Bilder in Benennungsaufgaben - Semantische Kontexteffekte innerhalb und zwischen  Stimulusmodalitäten,['Stefan Wöhner']
cd5r8,"Analysis code for the paper: Estimating the reliability of response time difference measures: Towards a standardized, model-based approach","['Bronson Hui', 'Zhiyi Wu']"
cht59,Worsened self-rated health in the course of the COVID-19 pandemic among older adults in Europe,['Daniel Lüdecke']
cqsr8,Why did a vehicle stop? A methodology for detection and classification of stops in vehicle trajectories,"['Stefan', 'Karl Rehrl', 'Simon Gröchenig']"
csy8q,Transparency of CHI Research Artifacts: Results of a Self-Reported Survey,"['Chat Wacharamanotham', 'Lukas Eisenring', 'Steve Haroz', 'Florian Echtler']"
cxv5k,"Materials for the study ""Temporal trends in mortality and readmission after acute heart failure : A systematic review and meta-regression in the past three decades""","['Antoine Kimmoun, MD', 'Takagi', 'Gall', 'Ishihara', 'Hammoum', 'NATHAN EL BEZE', 'bourgeois', 'Guillaume CHASSARD', 'Pegorer-Sfes', 'Etienne Gayat', 'Cohen Solal', 'Hollinger', 'Thomas Merkling', 'mebazaa']"
d3tg5,The effects of everyday-life social interactions on anxiety-related autonomic responses differ between men and women,['Marthe Gründahl']
d4hjq,Estimation of electoral outcome for the Czech Social Democratic Party,['Ivan Bielik']
d9jny,Code for paper ALL-IN meta-analysis: breathing life into living systematic reviews,['Judith ter Schure']
dcw4x,Social inequalities and loneliness as predictors of ageing well,['Daniel Lüdecke']
dez9b,,"['Sara Garofalo', 'Gianluca Finotti', 'Matteo Orsoni', 'Sara Giovagnoli', 'Mariagrazia Benassi']"
dgt8x,Analytic Code: Cognitive Processes Associated with Sudden Gains in Cognitive Therapy for Posttraumatic Stress Disorder in Routine Care,['Milan Wiedemann']
dh32q,,['Lara Warmelink']
dhmjx,Phantom rules: Establishing a subclass of rules,"['Jordan Wylie', 'Ana P. Gantman']"
dkq3f,Facial expressions at perceptual threshold on EDA and social comfort distance,"['Alice Cartaud', 'Laurent Ott', 'Tina Iachini', 'Jacques Honoré', 'Yann Coello']"
dkrhy,Psychometrics of the Biographical Inventory of Creative Behaviors (BICB),"['Paul Silvia', 'Rebekah Rodriguez-Boerwinkle', 'Roger Beaty', 'James C. Kaufman', 'Roni Reiter-Palmon']"
dngyk,An experience sampling measure of the key features of rumination,"['Yorgo Hoebeke', 'Annelise Blanchard', 'Alba Contreras', 'Alexandre Heeren']"
dpkyb,"Data, Materials, and Code for: Repetition learning is neither a continuous nor an implicit process","['Philipp Musfeld', 'Julia Krasnoff', 'Alessandra S. Souza', 'Klaus Oberauer']"
dqc3y,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology","['Magdalena Siegel', 'Junia Eder', 'Jelte Wicherts', 'Jakob Pietschnig']"
dqjyh,Interpersonal motor synchrony in Autism: systematic review and meta-analysis,"['Laura Carnevali', 'Irene Valori', 'Gianmarco Altoè', 'Teresa Farroni']"
dr8gy,Association between in-ICU  red blood pack transfusion and long-term outcome in the ICU survivors,"['Antoine Kimmoun, MD', 'Imke Mayer', 'mebazaa', 'Thomas Merkling', 'Duarte Kevin', 'Lorraine Ware', 'Alice Blet', 'Bernard Cholley', 'Julie Josse']"
drv3a,Cubic Response Surface Analysis: Investigating Asymmetric and Level-Dependent Congruence Effects With Third-Order Polynomial Models,"['Sarah Humberg', 'Felix Schönbrodt', 'Mitja Back', 'Steffen Nestler']"
dzwct,Impact of emotion laden acoustic stimuli on group synchronisation performance (data repository and codes),['Marta Bienkiewicz']
ecjy6,How to disentangle psychobiological stress reactivity and recovery: A comparison of model-based and non-compartmental analyses of the cortisol concentrations,['Robert Miller']
eg6w5,Social Decoys: Leveraging Choice Architecture to Alter Social Preferences,"['Linda W. Chang', 'Mina Cikara']"
egpr5,Gender associations in the twentieth-century English-language literature,"['Daniel Schulz', 'Štěpán Bahník']"
eks6u,An introduction to R,['Timothy J. Luke']
emwgp,"Code for ""Identifying predictors of clinical outcomes using the projection-predictive feature selection—a proof of concept on the example of Crohn's disease""","['Elisa Wirthgen', 'Frank Weber', 'Laura Kubickova-Weber', 'Benjamin Schiller', 'Sarah Schiller', 'Michael Radke', 'Jan Däbritz']"
ex9fj,Quantifying the difference in reading fluency between L1 and L2 readers of English,"['Kelly Nisbet', 'Victor Kuperman', 'Raymond Bertram']"
ezdgt,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,['Marthe Gründahl']
f3qrh,The Role of Linguistic Alignment on Question Development in FTF and SCMC Contexts: A Partial Replication Study - Code and data,['Stephen Skalicky']
f6qsk,"Perceiving locations of moving objects across eye blinks (2020, Psychological Science).","['Matteo Lisi', 'Gerrit Maus']"
fb5tw,"Code and data for ""Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1""",['Dylan H. Morris']
fbj3z,Robust statistical methods: a primer for clinical psychology and experimental psychopathology researchers,"['Andy Field', 'Rand R. Wilcox']"
fbshg,The True Role that Suppressor Effects Play in Condition-Based Regression Analysis: None. A Reply to Fiedler (2021),"['Sarah Humberg', 'Michael Dufner', 'Felix Schönbrodt', 'Katharina Utesch (geb. Geukes)', 'Roos Hutteman', 'Maarten van Zalk', 'Jaap Denissen', 'Steffen Nestler', 'Mitja Back']"
fdp39,The Impact of Internet and Social Media Use on Well-Being: A longitudinal analysis of adolescents across nine years,"['Christian Schemer', 'Philipp K. Masur', 'Stefan Geiss', 'Philipp Müller']"
fegvr,Body-based units of measure in cultural evolution,['Roope Oskari Kaaronen']
fr5ed,Do moral messages increase cooperation? Code and Data,"['Petr Tureček', 'Michał Misiak', 'Oliver Scott Curry']"
fsbzw,Prediction advantage as retrieval interference: an ACT-R model of processing possessive pronouns,"['Umesh Patil', 'Sol Lago']"
fvw2k,"New approach to identifying heat treated silcrete near Pinnacle Point, South Africa",['John K. Murray']
fwc2p,Visualizing the human subcortex using ultra-high field magnetic resonance imaging ,"['Max Cornelis Keuken', 'Bethany Rose Isaacs', 'Birte Forstmann', 'Wietske']"
fykpt,Mortality factors in pancreatic sciences,['Richard Hunger']
g2nkw,The Youth and Childhood Adversity Scale: A step towards developing a new measure of adversity and its severity,"['Pascal Schlechter', 'Jessica Fritz', 'Matthew Cassels', 'Sharon A.S. Neufeld', 'Paul O. Wilkinson']"
g8kbu,Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value,"['Jonas Dora', 'Niklas Johannes', 'Dorottya Rusz']"
gk6jh,Shrinking into the big city: Influences of genetic and environmental factors on urban dragon lizard morphology and performance capacity,"['James Baxter-Gilbert', 'Julia Riley', 'Celine Frère', 'Martin Whiting']"
greqt,Sensitive period in humans: Code and Data,"['Petr Tureček', 'Zuzana Štěrbová']"
guqrm,Ageing increases prosocial motivation,"['Patricia Lockwood', 'Ayat Abdurahman', 'Anthony S. Gabay', 'Marin Tamm', 'Daniel Drew', 'Masud Husain', 'Matthew A J Apps']"
gwn4y,The Diamond Ratio: A Visual Indicator of the Extent of Heterogeneity in Meta-Analysis,"['Maxwell Cairns', 'Geoff Cumming', 'Robert Calin-Jageman', 'Luke A. Prendergast']"
gy5vm,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019),['Matthias Egger']
gztxa,Vowel harmony,"['Jukka Hyönä', 'Manuel Perea', 'Ana Marcet']"
ha4q8,SIPS 2017 Sample Size and Effect Size Workshop,"['Jeremy C. Biesanz', 'Daniel Lakens']"
hbju7,"Social Distance and Preference for Visual and Verbal Mediums in Interpersonal Communication: A Conceptual Replication of Amit et al. (2013, Experiment 2).","['Ebba Magnusson', 'Karl Ask', 'Timothy J. Luke', 'Erik Mac Giolla', 'Sofia Calderon']"
he8mu,Status of our Science,"['Matt Motyl', 'Alexander Demos', 'Timothy S Carsel', 'Brittany E. Hanson', 'JP Prims', 'Zachary John Melton', 'Ali Mueller', 'Jiaqing Sun', 'Anthony N. Washburn', 'Kendal Wong', 'Caitlyn Yantis', 'Linda Skitka']"
hfjgw,Living on the Edge. Neighborhood Boundaries and the Spatial Dynamics of Violent Crime,['Joscha Legewie']
hfxsb,"Distinguishing between Worldview Conflict and Shared Alliances: Commentary on Pinsof, Sears, and Haselton","['Mark Brandt', 'Abigail Cassario']"
hfy4k,"Replication data and code materials for the study: ""Explaining media coverage of Constitutional Court decisions in Germany: The role of case characteristics""",['Philipp Meyer']
hn3bu,Recovery from misinterpretations during online sentence processing,"['Lena Maria Blott', 'Jennifer M Rodd', 'Fernanda Ferreira', 'Jane Warren']"
hrf5t,Categorization and Recognition in a Naturalistic Stimulus Domain,['Brian Joseph Meagher']
hu2n8,The social integration of high-achieving students in Germany,"['Claudia Neuendorf', 'Malte Jansen']"
hzncs,Witt (submitted) - Statistical Significance and SDT,['Jessica K. Witt']
jh47m,Politics in Science Project_Pre-Registration Document for Gatekeepers Project,"['domenico viganola', 'Anna Dreber Almenberg', 'Orly Eitan', 'Yoel Inbar', 'Magnus Johannesson', 'Thomas Pfeiffer', 'Stefan Thau', 'Eric Luis Uhlmann']"
jhyu9,Multilevel Response Surface Analysis,"['Steffen Nestler', 'Sarah Humberg', 'Felix Schönbrodt']"
jpxts,Well-Being in Social Interactions: Examining Personality-Situation Dynamics in Face-to-Face and Computer-Mediated Communication,"['Lara Kroencke', 'Gabriella M. Harari', 'Mitja Back', 'Jenny Wagner']"
jy5wd,Measuring Distinct Social Skills via Multiple Speed Assessments – A Behavior-Focused Personnel Selection Approach,"['Simon M. Breil', 'Boris Forthmann', 'Mitja Back']"
jyuxk,Bird population declines and species turnover are changing the acoustic properties of spring soundscapes,"['Catriona Morrison', 'Simon Butler']"
k853j,"Needs for Security &amp; Certainty, Political Engagemenet, and Economic Beliefs",['Gabriela Czarnek']
kbjw9,Power or Alpha? The Better Way of Decreasing the False Discovery Rate,"['František Bartoš', 'Maximilian Maier']"
kdjqz,A computational evaluation of two models of retrieval processes in sentence processing in aphasia,['Paula Lisson']
kgtx6,Repository with R vignettes to support data organization and analysis for the SHARE study,"['Lara Lusa', 'Marianne Huebner']"
kpe75,"Data and code for ""Moderators of relative confidence calibration""",['Dobromir Rahnev']
kwp6n,Trust in Everyday Life,"['Alexa Weiss', 'Wilhelm Hofmann', 'Corinna Michels', 'Thomas Mussweiler', 'Pascal Burgmer', 'Axel Ockenfels']"
m6pb2,"Is Accurate, Positive, or Inflated Self-Perception Most Advantageous for Psychological Adjustment? A Competitive Test of Key Hypotheses","['Sarah Humberg', 'Michael Dufner', 'Felix Schönbrodt', 'Katharina Utesch (geb. Geukes)', 'Roos Hutteman', 'Albrecht Kuefner', 'Maarten van Zalk', 'Jaap Denissen', 'Steffen Nestler', 'Mitja Back']"
m72gb,Understanding the Effects of Analytical Choices on Finding the Privacy Paradox: A Specification Curve Analysis of Large-Scale Survey Data,['Philipp K. Masur']
m87vg,Behavioural and neural processing costs of semantic ambiguity resolution by ear and eye,"['Lena Maria Blott', 'Jennifer M Rodd', 'Jane Warren']"
mbf32,SSSS 2016 Workshop-Latent Variable Analysis in R Made Easy,['MaRSS Lab']
mc26t,Count regression models for keyness analysis,['Lukas Sönning']
mcy6r,A Dynamic Analysis of the Effects of Alcohol on Social Experiences,"['Molly Bowdring', 'Michael Sayette', 'Shereen Jehan Chaudhry']"
meh5w,A social motive selection model of choice in shared resource problems,['Joshua Skewes']
mg3ny,"R Code for ""P-Hacking and Publication Bias Interact to Distort Meta-Analytic Effect Size Estimates""","['Malte Friese', 'Julius Frankenbach']"
mhgcx,Cognitive constraints on vocal combinatoriality in a social bird  ,['Stuart K Watson']
mj5nh,NZAVS Belief System Centrality,"['Mark Brandt', 'Chris G Sibley', 'Danny Osborne']"
mp9td,Investigating the Communication-Induced Memory Bias in the Context of Third-Party Social Interactions,"['Maleen Thiele', 'Steven Kalinke', 'Christine Michel', 'Daniel Haun']"
mvdpe,Mental Health and Social Contact During the COVID-19 Pandemic: An Ecological Momentary Assessment Study,"['Eiko I. Fried', 'Sacha Epskamp']"
n3zfp,Aesthetic Fidelity Effect,"['Jan R. Landwehr', 'Daniel Wentzel', 'Annika Wiecek']"
n5ahf,Repository for Impact of Successive Exertional Heat Injuries on Thermoregulatory and Systemic Inflammatory Responses in Mice,"['Aaron R Caldwell', 'Kentaro Oki', 'Shauna Ward', 'Michelle King', 'Jermaine Ward', 'Mark Plamper', 'Thomas Mayer', 'Lisa Leon']"
n5j3w,Exploring the avalanche bulletin as an avenue for continuing education by including learning interventions---Data and Code,"['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
n7sep,"Impact of baseline cases of cough and fever on UK COVID-19 diagnostic testing rates: estimates from the Bug Watch community cohort study - Supplementary material, code and data","['Max Eyre', 'Rachel Burns', 'Victoria Kirkby', 'Catherine Smith', 'Spiros Denaxas', 'Vincent Nguyen', 'Andrew C Hayward', 'Laura Shallcross', 'Ellen Fragaszy', 'Robert W Aldridge']"
nd9yr,Metacognitive insighit in COVID-19 knowledge promotes protective behaviours: data &amp; code repository,['Matteo Lisi']
ns4h9,Accuracy in Perceptions of Fundamental Social Motives,"['Chloe O. Huelsnitz', 'Becca Neel', 'Lauren Human']"
ntw7d,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"['Daniel Umpierre', 'Lucas Porto Santos', 'Lucas Helal', 'Cíntia Ehlers Botton', 'Angélica Trevisan De Nardi', 'Nórton Luís Oliveira', 'Leony Morgana Galliano', 'Douglas dos Santos Soares', 'Bruna Goes', 'Raíssa Borges Monteiro ', 'Akemy Kamitoyo', 'Tainá Silveira Alano', 'Andresa Conrado Ignacio', 'Linda Ariene dos Santos Cardoso', 'Helena Morsch Marques']"
nxyh3,Social status and emotional dynamics in narcissism,"['Lara Kroencke', 'Niclas Kuper', 'Elina Ryvkina ', 'Julia Alexandra Krüger', 'Simon Mota', 'Katharina Utesch (geb. Geukes)', 'Virgil Zeigler-Hill', 'Mitja Back']"
p2xgq,Touchscreen participation,"['Rachel Anne Harrison', 'Tecla Mohr']"
p46mb,ChrontouR,['Kyle P Larson']
p6msu,Pattern similarity analyses of frontoparietal task coding: Individual variation and genetic influences,"['Joset A. Etzel', 'Alexander Kizhner', 'Todd Braver']"
p7zwr,2022-Jafari_MA_UiT,['Mahdis Jafari']
pk9my,Too early to declare a general law of social mobility and heritability for education,['Damien Morris']
pnug5,Sex-specific behavioral syndromes allow the independent evolution of behavioral dimorphism ,"['Raphaël Royauté', 'Ann Hedrick', 'Ned A. Dochtermann']"
przvy,Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,"['Benjamin Storme', 'Laura Delaloye Saillen']"
