id,osf_title,status,pdf_url
dhmjx,Phantom rules: Establishing a subclass of rules,downloaded,https://www.frontiersin.org/articles/10.3389/fcvm.2022.919700/pdf
dkq3f,Facial expressions at perceptual threshold on EDA and social comfort distance,downloaded,https://hal.archives-ouvertes.fr/hal-03670715/file/cartaudetal2020_EDAandIPD.pdf
dkrhy,Psychometrics of the Biographical Inventory of Creative Behaviors (BICB),not found,
dngyk,An experience sampling measure of the key features of rumination,downloaded,
dpkyb,"Data, Materials, and Code for: Repetition learning is neither a continuous nor an implicit process",not found,
dqc3y,"Times are changing, bias isn’t: A meta-meta-analysis on publication bias detection practices, prevalence rates, and predictors in Industrial/Organizational Psychology",download error,https://research.tilburguniversity.edu/files/59480856/siegel_et_al._2021_accepted.pdf
dqjyh,Interpersonal motor synchrony in Autism: systematic review and meta-analysis,downloaded,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2024.1355068/pdf
dr8gy,Association between in-ICU  red blood pack transfusion and long-term outcome in the ICU survivors,not found,
drv3a,Cubic Response Surface Analysis: Investigating Asymmetric and Level-Dependent Congruence Effects With Third-Order Polynomial Models,downloaded,https://osf.io/v6m35/download
dzwct,Impact of emotion laden acoustic stimuli on group synchronisation performance (data repository and codes),not found,
ecjy6,How to disentangle psychobiological stress reactivity and recovery: A comparison of model-based and non-compartmental analyses of the cortisol concentrations,downloaded,https://arxiv.org/pdf/1708.08504
eg6w5,Social Decoys: Leveraging Choice Architecture to Alter Social Preferences,download error,https://doi.org/10.1037/pspa0000117
egpr5,Gender associations in the twentieth-century English-language literature,downloaded,https://psyarxiv.com/grn8t/download
eks6u,An introduction to R,downloaded,
emwgp,"Code for ""Identifying predictors of clinical outcomes using the projection-predictive feature selection—a proof of concept on the example of Crohn's disease""",downloaded,https://www.frontiersin.org/articles/10.3389/fped.2023.1170563/pdf
ex9fj,Quantifying the difference in reading fluency between L1 and L2 readers of English,error,
ezdgt,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,downloaded,https://www.frontiersin.org/articles/10.3389/fpsyt.2022.798596/pdf
f3qrh,The Role of Linguistic Alignment on Question Development in FTF and SCMC Contexts: A Partial Replication Study - Code and data,error,
f6qsk,"Perceiving locations of moving objects across eye blinks (2020, Psychological Science).",downloaded,
fb5tw,"Code and data for ""Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1""",downloaded,
fbj3z,Robust statistical methods: a primer for clinical psychology and experimental psychopathology researchers,downloaded,https://sussex.figshare.com/articles/journal_contribution/Robust_statistical_methods_a_primer_for_clinical_psychology_and_experimental_psychopathology_researchers/23444471/1/files/41155109.pdf
fbshg,The True Role that Suppressor Effects Play in Condition-Based Regression Analysis: None. A Reply to Fiedler (2021),downloaded,https://psyarxiv.com/6j34w/download
fdp39,The Impact of Internet and Social Media Use on Well-Being: A longitudinal analysis of adolescents across nine years,download error,https://academic.oup.com/jcmc/article-pdf/26/1/1/40935434/zmaa014.pdf
fegvr,Body-based units of measure in cultural evolution,downloaded,https://osf.io/rjde7/download
fr5ed,Do moral messages increase cooperation? Code and Data,downloaded,
fsbzw,Prediction advantage as retrieval interference: an ACT-R model of processing possessive pronouns,downloaded,
fvw2k,"New approach to identifying heat treated silcrete near Pinnacle Point, South Africa",downloaded,
fwc2p,Visualizing the human subcortex using ultra-high field magnetic resonance imaging ,downloaded,https://link.springer.com/content/pdf/10.1007%2Fs10548-018-0638-7.pdf
fykpt,Mortality factors in pancreatic sciences,downloaded,
g2nkw,The Youth and Childhood Adversity Scale: A step towards developing a new measure of adversity and its severity,download error,https://www.tandfonline.com/doi/pdf/10.1080/20008198.2021.1981573?needAccess=true
g8kbu,Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value,download error,http://www.collabra.org/articles/10.1525/collabra.207/galley/241/download/
gk6jh,Shrinking into the big city: Influences of genetic and environmental factors on urban dragon lizard morphology and performance capacity,downloaded,
greqt,Sensitive period in humans: Code and Data,downloaded,
guqrm,Ageing increases prosocial motivation,downloaded,http://pure-oai.bham.ac.uk/ws/files/163139304/0956797620975781.pdf
gwn4y,The Diamond Ratio: A Visual Indicator of the Extent of Heterogeneity in Meta-Analysis,downloaded,https://psyarxiv.com/f4xus/download
gy5vm,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019),downloaded,
gztxa,Vowel harmony,download error,https://doi.org/10.1037/dev0001776
ha4q8,SIPS 2017 Sample Size and Effect Size Workshop,downloaded,
hbju7,"Social Distance and Preference for Visual and Verbal Mediums in Interpersonal Communication: A Conceptual Replication of Amit et al. (2013, Experiment 2).",not found,
he8mu,Status of our Science,downloaded,
hfjgw,Living on the Edge. Neighborhood Boundaries and the Spatial Dynamics of Violent Crime,download error,https://read.dukeupress.edu/demography/article-pdf/55/5/1957/842231/1957legewie.pdf
hfxsb,"Distinguishing between Worldview Conflict and Shared Alliances: Commentary on Pinsof, Sears, and Haselton",downloaded,https://psyarxiv.com/sy7kn/download
hfy4k,"Replication data and code materials for the study: ""Explaining media coverage of Constitutional Court decisions in Germany: The role of case characteristics""",downloaded,
hn3bu,Recovery from misinterpretations during online sentence processing,download error,https://doi.org/10.1037/xlm0000936
hrf5t,Categorization and Recognition in a Naturalistic Stimulus Domain,not found,
hu2n8,The social integration of high-achieving students in Germany,not found,
hzncs,Witt (submitted) - Statistical Significance and SDT,download error,https://doi.org/10.1080/14017430410024847
jh47m,Politics in Science Project_Pre-Registration Document for Gatekeepers Project,downloaded,
jhyu9,Multilevel Response Surface Analysis,downloaded,
jpxts,Well-Being in Social Interactions: Examining Personality-Situation Dynamics in Face-to-Face and Computer-Mediated Communication,downloaded,https://psyarxiv.com/g6s8f/download
jy5wd,Measuring Distinct Social Skills via Multiple Speed Assessments – A Behavior-Focused Personnel Selection Approach,downloaded,https://doi.org/10.31234/osf.io/8maqt
jyuxk,Bird population declines and species turnover are changing the acoustic properties of spring soundscapes,error,
k853j,"Needs for Security &amp; Certainty, Political Engagemenet, and Economic Beliefs",not found,
kbjw9,Power or Alpha? The Better Way of Decreasing the False Discovery Rate,downloaded,https://psyarxiv.com/ev29a/download
kdjqz,A computational evaluation of two models of retrieval processes in sentence processing in aphasia,downloaded,
kgtx6,Repository with R vignettes to support data organization and analysis for the SHARE study,downloaded,
kpe75,"Data and code for ""Moderators of relative confidence calibration""",not found,
kwp6n,Trust in Everyday Life,downloaded,https://lbsresearch.london.edu/id/eprint/1435/1/Trust_in_everyday_life_preprint.pdf
m6pb2,"Is Accurate, Positive, or Inflated Self-Perception Most Advantageous for Psychological Adjustment? A Competitive Test of Key Hypotheses",downloaded,
m72gb,Understanding the Effects of Analytical Choices on Finding the Privacy Paradox: A Specification Curve Analysis of Large-Scale Survey Data,download error,https://www.tandfonline.com/doi/pdf/10.1080/1369118X.2021.1963460?needAccess=true
m87vg,Behavioural and neural processing costs of semantic ambiguity resolution by ear and eye,not found,
mbf32,SSSS 2016 Workshop-Latent Variable Analysis in R Made Easy,not found,
mc26t,Count regression models for keyness analysis,downloaded,https://doi.org/10.20982/tqmp.20.2.p161
mcy6r,A Dynamic Analysis of the Effects of Alcohol on Social Experiences,downloaded,
meh5w,A social motive selection model of choice in shared resource problems,downloaded,https://psyarxiv.com/f6vrx/download
mg3ny,"R Code for ""P-Hacking and Publication Bias Interact to Distort Meta-Analytic Effect Size Estimates""",downloaded,https://psyarxiv.com/bvm58/download
mhgcx,Cognitive constraints on vocal combinatoriality in a social bird  ,download error,http://www.cell.com/article/S2589004223010544/pdf
mj5nh,NZAVS Belief System Centrality,downloaded,
mp9td,Investigating the Communication-Induced Memory Bias in the Context of Third-Party Social Interactions,not found,
mvdpe,Mental Health and Social Contact During the COVID-19 Pandemic: An Ecological Momentary Assessment Study,downloaded,https://pure.uva.nl/ws/files/88283304/21677026211017839.pdf
n3zfp,Aesthetic Fidelity Effect,downloaded,https://doi.org/10.1016/j.ijresmar.2019.03.002
n5ahf,Repository for Impact of Successive Exertional Heat Injuries on Thermoregulatory and Systemic Inflammatory Responses in Mice,downloaded,
n5j3w,Exploring the avalanche bulletin as an avenue for continuing education by including learning interventions---Data and Code,downloaded,https://doi.org/10.1016/j.jort.2021.100472
n7sep,"Impact of baseline cases of cough and fever on UK COVID-19 diagnostic testing rates: estimates from the Bug Watch community cohort study - Supplementary material, code and data",downloaded,
nd9yr,Metacognitive insighit in COVID-19 knowledge promotes protective behaviours: data &amp; code repository,not found,
ns4h9,Accuracy in Perceptions of Fundamental Social Motives,downloaded,
ntw7d,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),error,
nxyh3,Social status and emotional dynamics in narcissism,downloaded,https://psyarxiv.com/sz2jh/download
p2xgq,Touchscreen participation,downloaded,https://link.springer.com/content/pdf/10.1007/s10758-023-09721-2.pdf
p46mb,ChrontouR,download error,https://academic.oup.com/gji/article-pdf/77/3/775/1672511/77-3-775.pdf
p6msu,Pattern similarity analyses of frontoparietal task coding: Individual variation and genetic influences,download error,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197197
p7zwr,2022-Jafari_MA_UiT,downloaded,https://www.medrxiv.org/content/medrxiv/early/2022/08/16/2022.08.11.22278688.full.pdf
pk9my,Too early to declare a general law of social mobility and heritability for education,downloaded,https://psyarxiv.com/vkn7m/download
pnug5,Sex-specific behavioral syndromes allow the independent evolution of behavioral dimorphism ,downloaded,
przvy,Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,not found,
ptfye,"Vogel &amp; Homberg: P-Hacking, P-Curves and the PSM–Performance Relationship: Is there evidential value?",downloaded,
pvyhe,How subcultures emerge,error,
q2zrp,Former Veg*ns: Reasons for abandoning veg*n diet goals,not found,
qbgct,Where do Early Career Researchers stand on Open Science practices? A survey within the Max Planck Society,error,
qhaf8,BCCCD23 - Elements of Cognitive Pupillometry,not found,
qj4xr,Who supports science-related populism? A nationally representative survey on the prevalence and explanatory factors of populist attitudes toward science in Switzerland,downloaded,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0271204&type=printable
qj86m,"To Deny, To Justify, Or To Apologize: Do Social Accounts Influence Stress Levels in the Aftermath of Psychological Contract Breach?",downloaded,https://bmcpsychology.biomedcentral.com/track/pdf/10.1186/s40359-020-00505-2
qjfv4,Overcoming barriers to service access: Refugees’ professional support service utilization and the impact of human and social capital,downloaded,https://link.springer.com/content/pdf/10.1007/s12134-022-00939-0.pdf
qk3bf,SITAR 2018: The Latent Structure of Interpersonal Problems,not found,
qrv2e,Testing the divisive normalization hypothesis of neural value coding,not found,
qrvje,Toddlers’ social evaluations of agents who act on false beliefs,downloaded,https://osf.io/eczgp/download
qsa5w,Psychometrics of the Self-Reflection and Insight Scale (SRIS),not found,
qwr69,Covariate Selection in Causal Learning under Non-Gaussianity,downloaded,
qxf5t,Cultures under stress: A cross-national meta-analysis of cortisol responses to the Trier Social Stress Test and their association with internalizing mental disorders and anxiety-based values,downloaded,
qxwsz,Fear and anxiety differ in construal level and scope,download error,https://doi.org/10.1080/02699931.2023.2184775
qy5sd,Working Memory Capacity Limits Memory for Bindings,downloaded,http://www.journalofcognition.org/articles/10.5334/joc.86/galley/212/download/
qynhu,The influence of verb tense on mental simulation during literary reading,downloaded,
r24vb,How do Different Types of Synaesthesia Cluster Together?  Implications for Causal Mechanisms,download error,https://journals.sagepub.com/doi/pdf/10.1177/03010066211070761
r4wg2,Social Status and Life Satisfaction: The Role of Future Expectations,not found,
rbxzs,Meta-análisis en ciencias sociales y de la salud,download error,https://latam.redilat.org/index.php/lt/article/download/1411/1753
rf6zu,Einführung in die statistische Analyse von Netzwerken mit Latent-Space Modellen in R,not found,
rh2sw,A tutorial on Bayesian analysis of ecological momentary assessment data in psychological research,download error,https://journals.sagepub.com/doi/pdf/10.1177/25152459241235875
rmcuy,Strategies for integrating disparate social information,download error,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2020.2413
rs6un,A systematic study into the factors that affect the predictive accuracy of multilevel VAR(1) models,downloaded,https://link.springer.com/content/pdf/10.1007/s11336-021-09803-z.pdf
rtmyx,A user perspective on the avalanche danger scale – Insights from North America---Data and Code,error,
s6zeg,Attachment styles modulate neural markers of threat and imagery when engaging in self-criticism,downloaded,https://www.nature.com/articles/s41598-020-70772-x.pdf
s82bw,TreeBUGS: An R Package for Hierarchical Multinomial-Processing-Tree Modeling,downloaded,https://link.springer.com/content/pdf/10.3758/s13428-017-0869-7.pdf
sb3kw,A status-seeking account of psychological entitlement,downloaded,https://osf.io/9tvm2/download
scn62,,no title,
skp56,CSEP 2021: Data Science for the Modern Exercise Physiologist,not found,
sqfnt,Self-Control and Social Desirability Meta-analysis,downloaded,https://psyarxiv.com/j4vy8/download
srbcf,Prostate Cancer TIME,downloaded,https://www.mdpi.com/2218-273X/12/3/375/pdf?version=1646101549
sw7rq,Establishing the social licence to introduce tracking technologies to address COVID-19,not found,
sx6yf,No man is an island: Effects of social seclusion on REM sleep and social dream content,download error,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjop.12515
t2jka,Batch upload stimuli to a Qualtrics survey (R script),downloaded,
t7a28,Prediction of Health-Related Outcomes and Turnover Intention with the Munich Employee Health Questionnaire (MEHQ),downloaded,https://osf.io/bgu6m/download
t93pf,Open Science in Marketing,downloaded,https://doi.org/10.1016/j.ijresmar.2024.12.005
tajd9,On the role of response styles in the study of intraindividual variability,download error,https://online.ucpress.edu/collabra/article-pdf/7/1/29929/487273/collabra_2021_7_1_29929.pdf
tbczv,Psychological theories of preferential choices under time pressure are more consistent than descriptive theories,downloaded,
tfbps,Idiographic Personality Network Modeling ,download error,https://doi.org/10.1037/pspp0000249
tg3fq,"A personality trait-based network of boredom, spontaneous and deliberate mind-wandering",downloaded,https://psyarxiv.com/kg6jr/download
