Source,Title,DOI,ids
https://osf.io/skp56/,CSEP 2021: Data Science for the Modern Exercise Physiologist,10.17605/OSF.IO/SKP56,skp56
https://osf.io/cwrj8/,Recognizing and trusting persuasive agents,10.17605/OSF.IO/CWRJ8,cwrj8
https://osf.io/pyts3/,HutchinsonDroughtIndex,10.17605/OSF.IO/PYTS3,pyts3
https://osf.io/t2jka/,Batch upload stimuli to a Qualtrics survey (R script),10.17605/OSF.IO/T2JKA,t2jka
https://osf.io/cvks7/,Foundations of Cost-Sensitive Machine Learning and its Application in Psychology,10.17605/OSF.IO/CVKS7,cvks7
https://osf.io/97unm/,Modality switch effects emerge early and increase throughout conceptual processing: Evidence from ERPs,10.17605/OSF.IO/97UNM,97unm
https://osf.io/ztnw8/,Eye Movements Reveal Age-related Differences in Event Model Updating,10.17605/OSF.IO/ZTNW8,ztnw8
https://osf.io/zba46/,Illustrative Examples for Instrumental Variable based Meta-Analytic Structural Equation Modeling (IV-MASEM),10.17605/OSF.IO/ZBA46,zba46
https://osf.io/vfqa7/,Effects of child salience on pro-social motivation,10.17605/OSF.IO/VFQA7,vfqa7
https://osf.io/398ta/,Semantic priming,10.17605/OSF.IO/398TA,398ta
https://osf.io/ujpyn/,Power Posing - P-Curve,10.17605/OSF.IO/UJPYN,ujpyn
https://osf.io/4t7nq/,Second Generation,10.17605/OSF.IO/4T7NQ,4t7nq
https://osf.io/h2jcm/,“Ethics Scale of Technology Assessment” - theoretical article,10.17605/OSF.IO/H2JCM,h2jcm
https://osf.io/phaeg/,Reconceptualizing Cross-Cutting Political Expression on Social Media:  A Case Study of Facebook Comments during the 2016 Brexit Referendum,10.17605/OSF.IO/PHAEG,phaeg
https://osf.io/zfdth/,Motor Learning Without Moving,10.17605/OSF.IO/ZFDTH,zfdth
https://osf.io/uk365/,Friendships in Emerging Adulthood: The role of Parental and Friendship Attachment Representations and Intimacy,10.17605/OSF.IO/UK365,uk365
https://osf.io/ahwqy/,Immigration and populist political strategies: The Swiss case in a European perspective,10.17605/OSF.IO/AHWQY,ahwqy
https://osf.io/7eqmc/,Resources for Propensity Score Matching with Cross-Classified Data Structures,10.17605/OSF.IO/7EQMC,7eqmc
https://osf.io/27yug/,Mechanisms driving interspecific variation in regional synchrony of trees reproduction,10.17605/OSF.IO/27YUG,27yug
https://osf.io/uqmfd/,Resting heart rate variability and affective flexibility,10.17605/OSF.IO/UQMFD,uqmfd
https://osf.io/qnsz7/,In search of the preference reversal zone,10.17605/OSF.IO/QNSZ7,qnsz7
https://osf.io/pnumg/,Regression modeling for linguistic data,10.17605/OSF.IO/PNUMG,pnumg
https://osf.io/ykbzh/,How to embrace variation and accept uncertainty in linguistic and psycholinguistic data,10.17605/OSF.IO/YKBZH,ykbzh
https://osf.io/xy47p/,Romantic Red - Meta-analysis on the effect of red on perceived attractiveness,10.17605/OSF.IO/XY47P,xy47p
https://osf.io/et3g5/,Combination of soil water extraction methods quantifies isotopic mixing of waters held at separate tensions in soil,10.17605/OSF.IO/ET3G5,et3g5
https://osf.io/ft4q3/,Effects of exposure to right-wing media on compliance with CDC recommendations in the United States,10.17605/OSF.IO/FT4Q3,ft4q3
https://osf.io/kys5c/,Seeing Blue in Black and White: Race and Perceptions of Officer-Involved Shootings,10.17605/OSF.IO/KYS5C,kys5c
https://osf.io/tfrzj/,Tracking multiple fish,10.17605/OSF.IO/TFRZJ,tfrzj
https://osf.io/sy4r5/,Activating Episodic Simulation Increases Affective Empathy,10.17605/OSF.IO/SY4R5,sy4r5
https://osf.io/b3c9u/,Moderation of CBT for Social Anxiety Disorder Treatment Trajectories,10.17605/OSF.IO/B3C9U,b3c9u
https://osf.io/wn7ch/,Uncontrolled Eating in Healthy Women Has Limited Influence on Food Cue Reactivity and Food-Related Inhibitory Control,10.17605/OSF.IO/WN7CH,wn7ch
https://osf.io/ces89/,Linear Modeling: Lecture notes,10.17605/OSF.IO/CES89,ces89
https://osf.io/u52rp/,Harvest_simulation_archive,10.17605/OSF.IO/U52RP,u52rp
https://osf.io/qf63r/,Blain et al. Extraversion and Reward JPSP,10.17605/OSF.IO/QF63R,qf63r
https://osf.io/zuafh/,Siedlungsgrößen und Abstände zwischen Siedlungsstandorten – eine geostatistische Analyse von Transektdaten,10.17605/OSF.IO/ZUAFH,zuafh
https://osf.io/jg8c6/,Exploratory Bifactor Analysis,10.17605/OSF.IO/JG8C6,jg8c6
https://osf.io/cht59/,Worsened self-rated health in the course of the COVID-19 pandemic among older adults in Europe,10.17605/OSF.IO/CHT59,cht59
https://osf.io/8dznf/,Ateles Kinematic Signatures,10.17605/OSF.IO/8DZNF,8dznf
https://osf.io/gy5vm/,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019),10.17605/OSF.IO/GY5VM,gy5vm
https://osf.io/fr5ed/,Do moral messages increase cooperation? Code and Data,10.17605/OSF.IO/FR5ED,fr5ed
https://osf.io/mganf/,All together now! Hatching synchrony in freshwater turtles,10.17605/OSF.IO/MGANF,mganf
https://osf.io/xfz3r/,Cayo Santiago Social Brain,10.17605/OSF.IO/XFZ3R,xfz3r
https://osf.io/wk2xu/,R-script for bias-corrected estimation of variance and standard deviation.,10.17605/OSF.IO/WK2XU,wk2xu
https://osf.io/kjpes/,Workshop: Análisis de redes en psicología con R,10.17605/OSF.IO/KJPES,kjpes
https://osf.io/n65xd/,Comment on: “Metabolic scaling is the product of life-history optimization”,10.17605/OSF.IO/N65XD,n65xd
https://osf.io/9273g/,Best Practices in Supervised Machine Learning: A Tutorial for Psychologists,10.17605/OSF.IO/9273G,9273g
https://osf.io/srbcf/,Prostate Cancer TIME,10.17605/OSF.IO/SRBCF,srbcf
https://osf.io/d3jhz/,Exercise/NAFLD LTE,10.17605/OSF.IO/D3JHZ,d3jhz
https://osf.io/h8kfc/,Mitigating Effect of OVs on CMV,10.17605/OSF.IO/H8KFC,h8kfc
https://osf.io/gk6jh/,Shrinking into the big city: Influences of genetic and environmental factors on urban dragon lizard morphology and performance capacity,10.17605/OSF.IO/GK6JH,gk6jh
https://osf.io/z6vmt/,Data & R-Script for: Do people pay more attention to prospectively bad outcomes when avoidable?,10.17605/OSF.IO/Z6VMT,z6vmt
https://osf.io/m4v9d/,Structural brain correlates of the externalizing spectrum in young adults,10.17605/OSF.IO/M4V9D,m4v9d
https://osf.io/me65y/,When does inhibition-of-return occur in spatial cueing tasks?,10.17605/OSF.IO/ME65Y,me65y
https://osf.io/k2f6d/,It Must Have Been Burnout: Prevalence and Related Factors among Spanish PhD Students,10.17605/OSF.IO/K2F6D,k2f6d
https://osf.io/62zxu/,HRV and Depression in Children and Adolescents - A Meta-Analytic Update,10.17605/OSF.IO/62ZXU,62zxu
https://osf.io/975k3/,Statistical Power and Optimal Design of RCTs Investigating Mediation Effects,10.17605/OSF.IO/975K3,975k3
https://osf.io/5ejcq/,PASANOA_PossibilityFrontier_archive,10.17605/OSF.IO/5EJCQ,5ejcq
https://osf.io/qamkx/,Optimal Sample Allocation for Three-Level Multisite Cluster- Randomized Trials,10.17605/OSF.IO/QAMKX,qamkx
https://osf.io/4x625/,Narrative Exposure Therapy,10.17605/OSF.IO/4X625,4x625
https://osf.io/hxmqw/,Online Supplement for the Peer Reviewers' Openness Initiative Survey,10.17605/OSF.IO/HXMQW,hxmqw
https://osf.io/g2nkw/,The Youth and Childhood Adversity Scale: A step towards developing a new measure of adversity and its severity,10.17605/OSF.IO/G2NKW,g2nkw
https://osf.io/sau4v/,Behavioral Posology: A Novel Paradigm for Modeling the Healthy Limits of Behaviors,10.17605/OSF.IO/SAU4V,sau4v
https://osf.io/y3482/,Replication concerns in sports and exercise science: a narrative review of selected methodological issues in the field,10.17605/OSF.IO/Y3482,y3482
https://osf.io/ajf3h/,Kbrevis (2022),10.17605/OSF.IO/AJF3H,ajf3h
https://osf.io/abrz6/,A tutorial on how to compute traditional IAT  effects with R,10.17605/OSF.IO/ABRZ6,abrz6
https://osf.io/cnqta/,Simple K-medoids Partitioning Algorithm for Mixed Variable Data,10.17605/OSF.IO/CNQTA,cnqta
https://osf.io/5te7n/,Color SNARC: response latency and semantic processing,10.17605/OSF.IO/5TE7N,5te7n
https://osf.io/tsjnb/,Psychological impact of COVID-19 pandemic,10.17605/OSF.IO/TSJNB,tsjnb
https://osf.io/xhrw6/,Childhood and Adulthood Predictors of Critical Consciousness,10.17605/OSF.IO/XHRW6,xhrw6
https://osf.io/y3p4d/,Modelling typing disfluencies as finite mixture process,10.17605/OSF.IO/Y3P4D,y3p4d
https://osf.io/pbfgz/,Modeling Decision Strategies in the Developmental Sciences,10.17605/OSF.IO/PBFGZ,pbfgz
https://osf.io/sha42/,PRECISE - oPen foREstry sCIence SardEgna,10.17605/OSF.IO/SHA42,sha42
https://osf.io/f34mh/,Countering Protection Rackets using Legal and Social Approaches: An Agent-Based Test,10.17605/OSF.IO/F34MH,f34mh
https://osf.io/7zmhu/,Social trust and anti-immigrant attitudes in Europe: a longitudinal multi-level analysis,10.17605/OSF.IO/7ZMHU,7zmhu
https://osf.io/sgkmn/,[published] Position and Orientation coding in naturalistic human vision,10.17605/OSF.IO/SGKMN,sgkmn
https://osf.io/a3yd4/,Cultural Diversity in Unequal Societies Sustained Through Cross-Cultural Competence and Identity Valuation,10.17605/OSF.IO/A3YD4,a3yd4
https://osf.io/uwhx8/,A large-scale analysis of bioinformatics code on GitHub,10.17605/OSF.IO/UWHX8,uwhx8
https://osf.io/g8kbu/,Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value,10.17605/OSF.IO/G8KBU,g8kbu
https://osf.io/z39us/,COVIDiSTRESS global survey,10.17605/OSF.IO/Z39US,z39us
https://osf.io/m2dp5/,Your turn to speak? Audiovisual social attention in the lab and in the wild,10.17605/OSF.IO/M2DP5,m2dp5
https://osf.io/pzfex/,Patterns and consequences of age-linked change in local relatedness in animal social systems,10.17605/OSF.IO/PZFEX,pzfex
https://osf.io/n5ahf/,Repository for Impact of Successive Exertional Heat Injuries on Thermoregulatory and Systemic Inflammatory Responses in Mice,10.17605/OSF.IO/N5AHF,n5ahf
https://osf.io/tjqau/,Social media and political polarization,10.17605/OSF.IO/TJQAU,tjqau
https://osf.io/rm2zp/,Social learning online,10.17605/OSF.IO/RM2ZP,rm2zp
https://osf.io/jb6s3/,R Code for Eyewitness Data,10.17605/OSF.IO/JB6S3,jb6s3
https://osf.io/da2zc/,R code for mIPSC and mEPSC,10.17605/OSF.IO/DA2ZC,da2zc
https://osf.io/m6p43/,R code written by Fereshteh Poormohammadi to Implement the Stochastic Occupant Behavioral Models,10.17605/OSF.IO/M6P43,m6p43
https://osf.io/36aqt/,R-code to construct bootstrap confidence interval for mean under RSS,10.17605/OSF.IO/36AQT,36aqt
https://osf.io/fje6k/,Data and R codes for analyses on the spatial construal of TIME in Indonesian language and co-speech gestures,10.17605/OSF.IO/FJE6K,fje6k
https://osf.io/6jrhz/,Data and R code for: ‘Social learning mechanisms shape transmission pathways through replicate local social networks of wild birds’,10.17605/OSF.IO/6JRHZ,6jrhz
https://osf.io/yfegm/,Infants' Object Processing in the Context of Third-Party Social Interactions,10.17605/OSF.IO/YFEGM,yfegm
https://osf.io/r68aj/,Effects of a brief exposure to nature or social media on psychological well-being,10.17605/OSF.IO/R68AJ,r68aj
https://osf.io/xay92/,Psychology as a Robust Science - Slides,10.17605/OSF.IO/XAY92,xay92
https://osf.io/kpgyw/,Assignment 7.1 Open Science,10.17605/OSF.IO/KPGYW,kpgyw
https://osf.io/fz2cv/,Quantifying the checks and balances of collaborative governance systems for adaptive carnivore management - Supplementary datasets and code,10.17605/OSF.IO/FZ2CV,fz2cv
https://osf.io/2dpzr/,Infants Oscillatory Frequencies change during Free-Play for Social vs Non-social Interactions.,10.17605/OSF.IO/2DPZR,2dpzr
https://osf.io/a8yh5/,Learning faces: The role of ensemble coding,10.17605/OSF.IO/A8YH5,a8yh5
https://osf.io/yrhnc/,Supplementary material: Social network dynamics: Topological knockouts reveal how demographic roles shape marmot social structure,10.17605/OSF.IO/YRHNC,yrhnc
https://osf.io/uhrcs/,Assignment 7.1 Open Science,10.17605/OSF.IO/UHRCS,uhrcs
https://osf.io/uq4pd/,Assignment 7.1 Open Science,No info,uq4pd
https://osf.io/mgxd6/,Ernesto Aberson Science Project,10.17605/OSF.IO/MGXD6,mgxd6
https://osf.io/vkcgb/,You don’t see what I see: The effect of gaze camouflage and social anxiety on social attention in naturalistic situations,10.17605/OSF.IO/VKCGB,vkcgb
https://osf.io/7h94n/,Data and code for Thompson et al. Chronology of early human impacts and ecosystem reorganisation in central Africa,10.17605/OSF.IO/7H94N,7h94n
https://osf.io/bzpyv/,Pre-saccadic attention spreads to stimuli forming a perceptual group with the saccade target (Code & Data),10.17605/OSF.IO/BZPYV,bzpyv
https://osf.io/43vhc/,Compare population age structures of Europe NUTS-3 regions and the US counties using ternary color-coding,10.17605/OSF.IO/43VHC,43vhc
https://osf.io/zv3uc/,Open Science and Terrorism Studies,10.17605/OSF.IO/ZV3UC,zv3uc
https://osf.io/ksj2n/,Biomarker Adoption in Developmental Science,10.17605/OSF.IO/KSJ2N,ksj2n
https://osf.io/bt9ya/,The gender gap in science,10.17605/OSF.IO/BT9YA,bt9ya
https://osf.io/gmjc5/,Catchment-scale urbanization diminishes effects of habitat complexity on instream macroinvertebrate assemblages (data and code),10.17605/OSF.IO/GMJC5,gmjc5
https://osf.io/c8pra/,Chilean Political Science Ranking,10.17605/OSF.IO/C8PRA,c8pra
https://osf.io/pysvj/,Functions for Calculating Common Language Effect Sizes in R,10.17605/OSF.IO/PYSVJ,pysvj
https://osf.io/49sq5/,neatStats,10.17605/OSF.IO/49SQ5,49sq5
https://osf.io/73y8p/,Validation of the RAQ-R in psychiatric patients,10.17605/OSF.IO/73Y8P,73y8p
https://osf.io/74nhs/,Taller: Estadística Descriptiva con R,10.17605/OSF.IO/74NHS,74nhs
https://osf.io/jgt6z/,Binocular rivalry in socially anxious adults,10.17605/OSF.IO/JGT6Z,jgt6z
https://osf.io/amvp5/,Code for: Historical and contemporary processes drive global phylogenetic structure across geographical scales: insights from bat communities,10.17605/OSF.IO/AMVP5,amvp5
https://osf.io/jshp3/,On the Relation between Code Elements and Accessibility Issues in Android Apps,10.17605/OSF.IO/JSHP3,jshp3
https://osf.io/hgy5q/,Event-coding in action and perception: Estimating effect sizes of common experimental designs,10.17605/OSF.IO/HGY5Q,hgy5q
https://osf.io/exguj/,Establishing the relevance of determinants regarding physical activity in people with overweight and obesity. R-scripts,10.17605/OSF.IO/EXGUJ,exguj
https://osf.io/6w985/,Curso-Taller “R: una herramienta flexible para el análisis de datos en Psicología” (Nivel Básico),10.17605/OSF.IO/6W985,6w985
https://osf.io/j8gsf/,R functions associated with the paper: Enhancing statistical inference in psychological research via prospective and retrospective design analysis,10.17605/OSF.IO/J8GSF,j8gsf
https://osf.io/9vr6q/,Expanding R Through Accessible Interactivity: Development of tidy psychological statistics modules- SIPS Grants In Aid 2023,10.17605/OSF.IO/9VR6Q,9vr6q
https://osf.io/5nh94/,Data and code for: 'Characterising group-level brain connectivity: a framework using Bayesian exponential random graph models',10.17605/OSF.IO/5NH94,5nh94
https://osf.io/gcshv/,amstar2: an R package for presenting the critical appraisal of systematic reviews according to the AMSTAR 2 tool,10.17605/OSF.IO/GCSHV,gcshv
https://osf.io/n5j3w/,Exploring the avalanche bulletin as an avenue for continuing education by including learning interventions---Data and Code,10.17605/OSF.IO/N5J3W,n5j3w
https://osf.io/5zx9g/,Lateral reading and monetary incentives to spot disinformation about science,10.17605/OSF.IO/5ZX9G,5zx9g
https://osf.io/9rptq/,A Globally Integrated Structure of Taxonomy supporting biodiversity science and conservation,10.17605/OSF.IO/9RPTQ,9rptq
https://osf.io/mhgcx/,Cognitive constraints on vocal combinatoriality in a social bird,10.17605/OSF.IO/MHGCX,mhgcx
https://osf.io/2kefc/,Human social preferences cluster and spread in the field,10.17605/OSF.IO/2KEFC,2kefc
https://osf.io/f7zcr/,Social affect and cognition in the lab and in everyday life,10.17605/OSF.IO/F7ZCR,f7zcr
https://osf.io/pg9km/,Taller: Estadística Inferencial con R,10.17605/OSF.IO/PG9KM,pg9km
https://osf.io/wk4f9/,2019-07 Workshop - Improving psychological science by formalizing psychological theories: The value of computational modeling,10.17605/OSF.IO/WK4F9,wk4f9
https://osf.io/s4uy7/,Follow up study: Young Infants' Attentional Preference for Social Interactions,10.17605/OSF.IO/S4UY7,s4uy7
https://osf.io/ypzhe/,Avalanche problem decision trees,10.17605/OSF.IO/YPZHE,ypzhe
https://osf.io/mvdpe/,Mental Health and Social Contact During the COVID-19 Pandemic: An Ecological Momentary Assessment Study,10.17605/OSF.IO/MVDPE,mvdpe
https://osf.io/r96pb/,Social operant conditioning of autobiographical memory sharing,10.17605/OSF.IO/R96PB,r96pb
https://osf.io/q26ej/,School Socioeconomic Status Context and Social Skills in Children,10.17605/OSF.IO/Q26EJ,q26ej
https://osf.io/hu2n8/,The social integration of high-achieving students in Germany,10.17605/OSF.IO/HU2N8,hu2n8
https://osf.io/tw8dq/,Test-Retesting the Social Value Orientation Slider Measure,10.17605/OSF.IO/TW8DQ,tw8dq
https://osf.io/qjxg9/,This is for you: social modulations of proximal vs. distal space in collaborative interaction,10.17605/OSF.IO/QJXG9,qjxg9
https://osf.io/npq24/,Testing and Interpreting Latent Variable Interactions using the semTools package,10.17605/OSF.IO/NPQ24,npq24
https://osf.io/4a9b6/,Third-Party Social Interaction Targets Enhance Infants' Visual Learning,10.17605/OSF.IO/4A9B6,4a9b6
https://osf.io/se53c/,Data and code for: Plasticity takes the lead in local adaptation,10.17605/OSF.IO/SE53C,se53c
https://osf.io/64r8m/,A Survey on the Perception of Reproducibility and Replicability in Sports and Exercise Science,10.17605/OSF.IO/64R8M,64r8m
https://osf.io/2cgex/,DEMO: Exceptionality effect: Open Science Workshop,10.17605/OSF.IO/2CGEX,2cgex
https://osf.io/xzke7/,Psychological Science April 2019 Data Badge Investigation,10.17605/OSF.IO/XZKE7,xzke7
https://osf.io/2wpr3/,Social aging in male and female Barbary macaques,10.17605/OSF.IO/2WPR3,2wpr3
https://osf.io/5v76r/,Uncovering Hidden Opinions: Social Norms and the Expression of Xenophobic Attitudes,10.17605/OSF.IO/5V76R,5v76r
https://osf.io/7z3mk/,Exploring Content Knowledge: Country Profile of Science Strengths and Weaknesses in TIMSS. Possible Implications for Educational Professionals and Science Research,10.17605/OSF.IO/7Z3MK,7z3mk
https://osf.io/acbs5/,Data and code for Parts and Wholes: Reduction Allometry and Modularity in Experimental Folsom Points,10.17605/OSF.IO/ACBS5,acbs5
https://osf.io/ds8vz/,Data and code from: Begging and feeding responses vary with relatedness and sex of provisioners in a cooperative breeder,10.17605/OSF.IO/DS8VZ,ds8vz
https://osf.io/z29vm/,Maria's R functions,10.17605/OSF.IO/Z29VM,z29vm
https://osf.io/3h7em/,Resilience tutorial - R,10.17605/OSF.IO/3H7EM,3h7em
https://osf.io/29kfv/,thirt: An R package for the Thurstonian Item Response Theory model using Markov chain Monte Carlo estimation,10.17605/OSF.IO/29KFV,29kfv
https://osf.io/ygfme/,Litter distribution: Science Project in BIO5020 at Nord University 2020,10.17605/OSF.IO/YGFME,ygfme
https://osf.io/5p3eq/,Is it Too Early or Too Late: How Does Social Account Timing Influence Stress Resolution in the Aftermath of Psychological Contract Breach?,10.17605/OSF.IO/5P3EQ,5p3eq
https://osf.io/2yq8a/,Dissecting Functional Contributions of the Social Brain  to Strategic Behavior,10.17605/OSF.IO/2YQ8A,2yq8a
https://osf.io/42nyv/,Young Infants' Attentional Preference for Social Interactions,10.17605/OSF.IO/42NYV,42nyv
https://osf.io/qpcrm/,Intergroup contact fosters more inclusive social identities,10.17605/OSF.IO/QPCRM,qpcrm
https://osf.io/uy2fm/,R for Social Scientists,10.17605/OSF.IO/UY2FM,uy2fm
https://osf.io/56rqw/,Social Configural Dynamics,10.17605/OSF.IO/56RQW,56rqw
https://osf.io/7utkf/,Introduction to R,10.17605/OSF.IO/7UTKF,7utkf
https://osf.io/6g4js/,Introduction to R Workshop CPA 2022 Calgary,10.17605/OSF.IO/6G4JS,6g4js
https://osf.io/4fn73/,Predicting the Replicability of Social Science Lab Experiments,10.17605/OSF.IO/4FN73,4fn73
https://osf.io/4fhqz/,Improving the Computational Reproducibility of Clinical Science: Tools for Open Data and Code,10.17605/OSF.IO/4FHQZ,4fhqz
https://osf.io/6ymqg/,Tutorial on web scraping using R,10.17605/OSF.IO/6YMQG,6ymqg
https://osf.io/x72cy/,Laypeople Can Predict Which Social Science Studies Replicate,10.17605/OSF.IO/X72CY,x72cy
https://osf.io/zypsm/,Curso R na Pesquisa Social e Política: algumas aplicações introdutórias (UFRGS),10.17605/OSF.IO/ZYPSM,zypsm
https://osf.io/mfqh6/,MattiaTW Digital Social Reading,10.17605/OSF.IO/MFQH6,mfqh6
https://osf.io/w7pjy/,Critical Layer Validation---Data and Code,10.17605/OSF.IO/W7PJY,w7pjy
https://osf.io/2sz48/,Impact of information presentation on interpretability of spatial hazard information: Lessons from a study in avalanche safety---Data and Code,10.17605/OSF.IO/2SZ48,2sz48
https://osf.io/9mc84/,DGPS2018 - An Introduction to Machine Learning for Psychologists in R,10.17605/OSF.IO/9MC84,9mc84
https://osf.io/qdq5k/,LEXI: Long non-coding RNA expression imputation,10.17605/OSF.IO/QDQ5K,qdq5k
