id,osf_title,status,pdf_url
f6qsk,"Perceiving locations of moving objects across eye blinks (2020, Psychological Science).",downloaded,https://core.ac.uk/download/574200022.pdf
fb5tw,"Code and data for ""Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1""",downloaded,https://www.zora.uzh.ch/id/eprint/227091/1/ZORA_227091.pdf
fdp39,The Impact of Internet and Social Media Use on Well-Being: A longitudinal analysis of adolescents across nine years,not found,
fr5ed,Do moral messages increase cooperation? Code and Data,downloaded,https://core.ac.uk/download/76395575.pdf
fsbzw,Prediction advantage as retrieval interference: an ACT-R model of processing possessive pronouns,not found,
fvw2k,"New approach to identifying heat treated silcrete near Pinnacle Point, South Africa",downloaded,https://core.ac.uk/download/188014742.pdf
fykpt,Mortality factors in pancreatic sciences,downloaded,https://core.ac.uk/download/144552328.pdf
g2nkw,The Youth and Childhood Adversity Scale: A step towards developing a new measure of adversity and its severity,not found,
g8kbu,Social Smartphone Apps Do Not Capture Attention Despite Their Perceived High Reward Value,downloaded,https://core.ac.uk/download/286703552.pdf
gk6jh,Shrinking into the big city: Influences of genetic and environmental factors on urban dragon lizard morphology and performance capacity,not found,
greqt,Sensitive period in humans: Code and Data,not found,
gy5vm,Extended data for Non-AIDS defining malignancies in the combination ART era: immunological and socio-behavioral risk factors (Ruffieux et al. Faculty1000research 2019),not found,
gztxa,Vowel harmony,downloaded,https://core.ac.uk/download/232970513.pdf
ha4q8,SIPS 2017 Sample Size and Effect Size Workshop,downloaded,https://core.ac.uk/download/293887037.pdf
hbju7,"Social Distance and Preference for Visual and Verbal Mediums in Interpersonal Communication: A Conceptual Replication of Amit et al. (2013, Experiment 2).",not found,
he8mu,Status of our Science,downloaded,https://core.ac.uk/download/11920730.pdf
hfjgw,Living on the Edge. Neighborhood Boundaries and the Spatial Dynamics of Violent Crime,downloaded,https://core.ac.uk/download/71360975.pdf
hfy4k,"Replication data and code materials for the study: ""Explaining media coverage of Constitutional Court decisions in Germany: The role of case characteristics""",not found,
hn3bu,Recovery from misinterpretations during online sentence processing,downloaded,https://core.ac.uk/download/333643664.pdf
hrf5t,Categorization and Recognition in a Naturalistic Stimulus Domain,downloaded,https://core.ac.uk/download/613719305.pdf
hu2n8,The social integration of high-achieving students in Germany,downloaded,https://core.ac.uk/download/71349261.pdf
hzncs,Witt (submitted) - Statistical Significance and SDT,downloaded,https://core.ac.uk/download/215596472.pdf
jh47m,Politics in Science Project_Pre-Registration Document for Gatekeepers Project,no pdf,
jhyu9,Multilevel Response Surface Analysis,downloaded,https://core.ac.uk/download/8821145.pdf
k853j,"Needs for Security &amp; Certainty, Political Engagemenet, and Economic Beliefs",no pdf,
kdjqz,A computational evaluation of two models of retrieval processes in sentence processing in aphasia,downloaded,https://core.ac.uk/download/210659638.pdf
kgtx6,Repository with R vignettes to support data organization and analysis for the SHARE study,downloaded,https://core.ac.uk/download/30732699.pdf
kpe75,"Data and code for ""Moderators of relative confidence calibration""",downloaded,https://core.ac.uk/download/161883039.pdf
m6pb2,"Is Accurate, Positive, or Inflated Self-Perception Most Advantageous for Psychological Adjustment? A Competitive Test of Key Hypotheses",downloaded,https://core.ac.uk/download/217187753.pdf
m72gb,Understanding the Effects of Analytical Choices on Finding the Privacy Paradox: A Specification Curve Analysis of Large-Scale Survey Data,not found,
m87vg,Behavioural and neural processing costs of semantic ambiguity resolution by ear and eye,downloaded,https://core.ac.uk/download/326707258.pdf
mbf32,SSSS 2016 Workshop-Latent Variable Analysis in R Made Easy,downloaded,https://core.ac.uk/download/617768052.pdf
mcy6r,A Dynamic Analysis of the Effects of Alcohol on Social Experiences,downloaded,https://core.ac.uk/download/360553580.pdf
mhgcx,Cognitive constraints on vocal combinatoriality in a social bird  ,downloaded,https://core.ac.uk/download/611953778.pdf
mj5nh,NZAVS Belief System Centrality,downloaded,https://core.ac.uk/download/420841245.pdf
mp9td,Investigating the Communication-Induced Memory Bias in the Context of Third-Party Social Interactions,downloaded,https://core.ac.uk/download/519353382.pdf
n5ahf,Repository for Impact of Successive Exertional Heat Injuries on Thermoregulatory and Systemic Inflammatory Responses in Mice,downloaded,https://core.ac.uk/download/363507167.pdf
n7sep,"Impact of baseline cases of cough and fever on UK COVID-19 diagnostic testing rates: estimates from the Bug Watch community cohort study - Supplementary material, code and data",not found,
nd9yr,Metacognitive insighit in COVID-19 knowledge promotes protective behaviours: data &amp; code repository,not found,
ns4h9,Accuracy in Perceptions of Fundamental Social Motives,downloaded,https://core.ac.uk/download/130998409.pdf
p2xgq,Touchscreen participation,downloaded,https://digitalscholarship.unlv.edu/cgi/viewcontent.cgi?article=1271&amp;context=jhdrp
p46mb,ChrontouR,downloaded,https://core.ac.uk/download/580047608.pdf
p6msu,Pattern similarity analyses of frontoparietal task coding: Individual variation and genetic influences,not found,
p7zwr,2022-Jafari_MA_UiT,no pdf,
pnug5,Sex-specific behavioral syndromes allow the independent evolution of behavioral dimorphism ,download error,https://core.ac.uk/download/161102700.pdf
przvy,Grammatical gender in French: its impact on the interpretation of social gender in generic hybrid nouns,not found,
ptfye,"Vogel &amp; Homberg: P-Hacking, P-Curves and the PSM–Performance Relationship: Is there evidential value?",not found,
pvyhe,How subcultures emerge,downloaded,https://core.ac.uk/download/572260668.pdf
q2zrp,Former Veg*ns: Reasons for abandoning veg*n diet goals,not found,
qhaf8,BCCCD23 - Elements of Cognitive Pupillometry,no pdf,
qk3bf,SITAR 2018: The Latent Structure of Interpersonal Problems,downloaded,https://core.ac.uk/download/638841659.pdf
qrv2e,Testing the divisive normalization hypothesis of neural value coding,downloaded,https://open.bu.edu/bitstream/2144/1972/1/TR-09-008.pdf
qsa5w,Psychometrics of the Self-Reflection and Insight Scale (SRIS),downloaded,https://core.ac.uk/download/582226603.pdf
qwr69,Covariate Selection in Causal Learning under Non-Gaussianity,error,
qxf5t,Cultures under stress: A cross-national meta-analysis of cortisol responses to the Trier Social Stress Test and their association with internalizing mental disorders and anxiety-based values,error,
qxwsz,Fear and anxiety differ in construal level and scope,downloaded,https://core.ac.uk/download/639540991.pdf
qy5sd,Working Memory Capacity Limits Memory for Bindings,downloaded,https://core.ac.uk/download/28972432.pdf
qynhu,The influence of verb tense on mental simulation during literary reading,downloaded,https://core.ac.uk/download/159552152.pdf
r24vb,How do Different Types of Synaesthesia Cluster Together?  Implications for Causal Mechanisms,downloaded,https://core.ac.uk/download/429731162.pdf
r4wg2,Social Status and Life Satisfaction: The Role of Future Expectations,not found,
rbxzs,Meta-análisis en ciencias sociales y de la salud,downloaded,https://core.ac.uk/download/350872302.pdf
rf6zu,Einführung in die statistische Analyse von Netzwerken mit Latent-Space Modellen in R,downloaded,https://www.ssoar.info/ssoar/bitstream/document/50724/1/ssoar-2000-mandl-Einsatz_neuronaler_Netze_als_Transferkomponenten.pdf
rh2sw,A tutorial on Bayesian analysis of ecological momentary assessment data in psychological research,downloaded,https://core.ac.uk/download/620833771.pdf
rmcuy,Strategies for integrating disparate social information,downloaded,https://core.ac.uk/download/555946111.pdf
rtmyx,A user perspective on the avalanche danger scale – Insights from North America---Data and Code,downloaded,https://core.ac.uk/download/638924440.pdf
scn62,,no title,
skp56,CSEP 2021: Data Science for the Modern Exercise Physiologist,downloaded,https://core.ac.uk/download/616519843.pdf
srbcf,Prostate Cancer TIME,download error,https://core.ac.uk/download/323073806.pdf
sw7rq,Establishing the social licence to introduce tracking technologies to address COVID-19,downloaded,https://core.ac.uk/download/599044338.pdf
sx6yf,No man is an island: Effects of social seclusion on REM sleep and social dream content,not found,
t2jka,Batch upload stimuli to a Qualtrics survey (R script),downloaded,http://deepblue.lib.umich.edu/bitstream/2027.42/156434/2/lnc312377_am.pdf
t93pf,Open Science in Marketing,downloaded,https://core.ac.uk/download/131316775.pdf
tajd9,On the role of response styles in the study of intraindividual variability,downloaded,https://core.ac.uk/download/186331651.pdf
tbczv,Psychological theories of preferential choices under time pressure are more consistent than descriptive theories,downloaded,https://core.ac.uk/download/80842220.pdf
tfbps,Idiographic Personality Network Modeling ,downloaded,https://core.ac.uk/download/360501487.pdf
tgf3q,"The Late Gravettian Site of Kostënki 21 Layer III, Russia: a Chronocultural Reassessment Based on a New Interpretation of the Significance of Intra-site Spatial Patterning",not found,
tnbev,Lewis Acid–Base - R Files for Instructors and Researchers,downloaded,https://core.ac.uk/download/220146201.pdf
u3wby,The Open Science Twitterverse,downloaded,https://core.ac.uk/download/16424207.pdf
u9hkj,"Data and Code for ""Carbon dioxide removal to combat climate change? An expert survey on perception and support""",downloaded,https://core.ac.uk/download/613598633.pdf
uckzx,Heads &amp; Tails: A study of the informational value of Greek coinage (650 BCE – 336 BCE),not found,
uf63k,Syed Manuscript Review Analysis,downloaded,https://core.ac.uk/download/67756072.pdf
uhma8,Mapping Methods in Contemporary Political Science Research: An Analysis of Journal Publications (1998 - 2018),not found,
ujpyn,Power Posing - P-Curve,download error,https://core.ac.uk/download/212849787.pdf
unxj2,Lean-back and lean-forward online behaviors: the role of emotions in passive versus proactive information diffusion of social media content.,not found,
uq3cv,Refining manual annotation effort,downloaded,http://arxiv.org/abs/2308.13201
uxdwh,Calculating the relative importance of multiple regression predictor variables using dominance analysis and random forests,downloaded,https://core.ac.uk/download/345089406.pdf
vguey,Selection of the Number of Participants in Intensive Longitudinal Studies: A User-friendly Shiny App and Tutorial to Perform Power Analysis in Multilevel Regression Models that Account for Temporal Dependencies,not found,
vnbxk,"Gaming Habits and Psychological Well-being: An international dataset about the Anxiety, Life Satisfaction and Social Phobia of over 13000 gamers",not found,
vprwb,Data and code for lmerTest tutorial manuscript,downloaded,https://core.ac.uk/download/554055001.pdf
vwq9p,A Dictionary-Based Comparison of Autobiographies by People and Murderous Monsters,downloaded,https://core.ac.uk/download/226159510.pdf
vy763,Supplemental materials for paper: A closer look at fixed effects regression in SEM,not found,
w7afh,Toward a new personality model of responses to uncertainty,download error,https://core.ac.uk/download/305124131.pdf
w7pjy,Critical Layer Validation---Data and Code,downloaded,https://core.ac.uk/download/pdf/42786207.pdf
w97h4,Vogel &amp; Willems (2020). The effects of making public service employees aware of their prosocial and societal impact: A microintervention,not found,
wc3nq,The effects of maternal social connectivity and integration on offspring survival in a marmot. Data and code.,downloaded,https://core.ac.uk/download/459191779.pdf
wcfj3,Cognitive Benefits of Learning Additional Languages in Old Adulthood? Insights from an Intensive Longitudinal Intervention Study,downloaded,https://core.ac.uk/download/323112031.pdf
wxgm5,Context Effects in Reproduction and Perception of Song Tempo,downloaded,https://core.ac.uk/download/29416076.pdf
wxgzu,SMART Mental Health Prediction Tournament,downloaded,https://core.ac.uk/download/214830867.pdf
wyrav,"The Impact of the Early Stages of COVID-19 on Mental Health in the United States, Germany, and the United Kingdom",downloaded,https://core.ac.uk/download/573311674.pdf
xgwzf,Cross-modal facilitation of episodic memory by sequential action execution,downloaded,https://core.ac.uk/download/37963364.pdf
xhrw6,Childhood and Adulthood Predictors of Critical Consciousness,downloaded,https://core.ac.uk/download/28949120.pdf
xjm6z,Bayesian analysis of cross-sectional network psychometrics: A tutorial in R and JASP,not found,
xuz8d,Thesis,downloaded,http://arxiv.org/abs/1307.8108
y5gr9,Diversifying Research Methods Syllabi,downloaded,https://core.ac.uk/download/618202007.pdf
yc8b5,Text Analysis,downloaded,https://media.neliti.com/media/publications/145676-EN-text-analysis-and-text-created-in-gramma.pdf
yfegm,Infants' Object Processing in the Context of Third-Party Social Interactions,downloaded,http://arxiv.org/abs/1711.08992
yvw93,Response Surface Analysis in Personality and Social Psychology: Checklist and Clarifications for the Case of Congruence Hypotheses,not found,
ywm3r,Supplementary data for Uncovering the Motivational Core of Traits: The Case of Conscientiousness,not found,
z39us,COVIDiSTRESS global survey,downloaded,https://core.ac.uk/download/541242655.pdf
z6nm8,The behavioural ecology of optimism,downloaded,https://core.ac.uk/download/322748597.pdf
zfqax,Social Ball: An immersive research paradigm to study social ostracism,not found,
zhf98,"Politics in science: study1- political relevence, pre-reg main study+dataset",not found,
zv3uc,Open Science and Terrorism Studies,downloaded,https://core.ac.uk/download/30642187.pdf
