id,osf_title,contributors
emwgp,"Code for ""Identifying predictors of clinical outcomes using the projection-predictive feature selection—a proof of concept on the example of Crohn's disease""","['Elisa Wirthgen', 'Frank Weber', 'Laura Kubickova-Weber', 'Benjamin Schiller', 'Sarah Schiller', 'Michael Radke', 'Jan Däbritz']"
ezdgt,Construction and validation of a scale to measure loneliness and isolation during social distancing and its effect on mental health,['Marthe Gründahl']
fbj3z,Robust statistical methods: a primer for clinical psychology and experimental psychopathology researchers,"['Andy Field', 'Rand R. Wilcox']"
fbshg,The True Role that Suppressor Effects Play in Condition-Based Regression Analysis: None. A Reply to Fiedler (2021),"['Sarah Humberg', 'Michael Dufner', 'Felix Schönbrodt', 'Katharina Utesch (geb. Geukes)', 'Roos Hutteman', 'Maarten van Zalk', 'Jaap Denissen', 'Steffen Nestler', 'Mitja Back']"
fegvr,Body-based units of measure in cultural evolution,['Roope Oskari Kaaronen']
fwc2p,Visualizing the human subcortex using ultra-high field magnetic resonance imaging ,"['Max Cornelis Keuken', 'Bethany Rose Isaacs', 'Birte Forstmann', 'Wietske']"
guqrm,Ageing increases prosocial motivation,"['Patricia Lockwood', 'Ayat Abdurahman', 'Anthony S. Gabay', 'Marin Tamm', 'Daniel Drew', 'Masud Husain', 'Matthew A J Apps']"
gwn4y,The Diamond Ratio: A Visual Indicator of the Extent of Heterogeneity in Meta-Analysis,"['Maxwell Cairns', 'Geoff Cumming', 'Robert Calin-Jageman', 'Luke A. Prendergast']"
hfxsb,"Distinguishing between Worldview Conflict and Shared Alliances: Commentary on Pinsof, Sears, and Haselton","['Mark Brandt', 'Abigail Cassario']"
jpxts,Well-Being in Social Interactions: Examining Personality-Situation Dynamics in Face-to-Face and Computer-Mediated Communication,"['Lara Kroencke', 'Gabriella M. Harari', 'Mitja Back', 'Jenny Wagner']"
jy5wd,Measuring Distinct Social Skills via Multiple Speed Assessments – A Behavior-Focused Personnel Selection Approach,"['Simon M. Breil', 'Boris Forthmann', 'Mitja Back']"
jyuxk,Bird population declines and species turnover are changing the acoustic properties of spring soundscapes,"['Catriona Morrison', 'Simon Butler']"
kbjw9,Power or Alpha? The Better Way of Decreasing the False Discovery Rate,"['František Bartoš', 'Maximilian Maier']"
kwp6n,Trust in Everyday Life,"['Alexa Weiss', 'Wilhelm Hofmann', 'Corinna Michels', 'Thomas Mussweiler', 'Pascal Burgmer', 'Axel Ockenfels']"
mc26t,Count regression models for keyness analysis,['Lukas Sönning']
meh5w,A social motive selection model of choice in shared resource problems,['Joshua Skewes']
mg3ny,"R Code for ""P-Hacking and Publication Bias Interact to Distort Meta-Analytic Effect Size Estimates""","['Malte Friese', 'Julius Frankenbach']"
mvdpe,Mental Health and Social Contact During the COVID-19 Pandemic: An Ecological Momentary Assessment Study,"['Eiko I. Fried', 'Sacha Epskamp']"
n3zfp,Aesthetic Fidelity Effect,"['Jan R. Landwehr', 'Daniel Wentzel', 'Annika Wiecek']"
n5j3w,Exploring the avalanche bulletin as an avenue for continuing education by including learning interventions---Data and Code,"['Pascal Haegeli', 'Katie Fisher', 'Patrick Mair']"
ntw7d,Strengthening the Evidence in Exercise Sciences Initiative (SEES Initiative),"['Daniel Umpierre', 'Lucas Porto Santos', 'Lucas Helal', 'Cíntia Ehlers Botton', 'Angélica Trevisan De Nardi', 'Nórton Luís Oliveira', 'Leony Morgana Galliano', 'Douglas dos Santos Soares', 'Bruna Goes', 'Raíssa Borges Monteiro ', 'Akemy Kamitoyo', 'Tainá Silveira Alano', 'Andresa Conrado Ignacio', 'Linda Ariene dos Santos Cardoso', 'Helena Morsch Marques']"
nxyh3,Social status and emotional dynamics in narcissism,"['Lara Kroencke', 'Niclas Kuper', 'Elina Ryvkina ', 'Julia Alexandra Krüger', 'Simon Mota', 'Katharina Utesch (geb. Geukes)', 'Virgil Zeigler-Hill', 'Mitja Back']"
pk9my,Too early to declare a general law of social mobility and heritability for education,['Damien Morris']
qbgct,Where do Early Career Researchers stand on Open Science practices? A survey within the Max Planck Society,"['Daniel Toribio-Flórez', 'Lukas Anneser', 'Felipe N. Oliveira-Lopes', 'Martijn Pallandt', 'Isabell Tunn', 'Hendrik Windel']"
qj4xr,Who supports science-related populism? A nationally representative survey on the prevalence and explanatory factors of populist attitudes toward science in Switzerland,['Niels G. Mede']
qj86m,"To Deny, To Justify, Or To Apologize: Do Social Accounts Influence Stress Levels in the Aftermath of Psychological Contract Breach?","['Tim Vantilborgh', 'Safâa Achnak']"
qjfv4,Overcoming barriers to service access: Refugees’ professional support service utilization and the impact of human and social capital,['Ellen Heidinger']
qrvje,Toddlers’ social evaluations of agents who act on false beliefs,"['Brandon M. Woo', 'Elizabeth Spelke']"
rs6un,A systematic study into the factors that affect the predictive accuracy of multilevel VAR(1) models,"['Ginette Lafit', 'Kristof Meers', 'Eva Ceulemans']"
s6zeg,Attachment styles modulate neural markers of threat and imagery when engaging in self-criticism,['Jeffrey J. Kim']
s82bw,TreeBUGS: An R Package for Hierarchical Multinomial-Processing-Tree Modeling,"['Daniel W. Heck', 'Nina Rebecca Arnold', 'Denis Arnold']"
sb3kw,A status-seeking account of psychological entitlement,"['Jens Lange', 'Liz Redford', 'Jan Crusius']"
sqfnt,Self-Control and Social Desirability Meta-analysis,"['Xin Sun', 'Han Zhang', 'Akira Miyake']"
t7a28,Prediction of Health-Related Outcomes and Turnover Intention with the Munich Employee Health Questionnaire (MEHQ),"['Florian Pargent', 'Bettina Maria Zweck', 'Markus Bühner']"
tg3fq,"A personality trait-based network of boredom, spontaneous and deliberate mind-wandering","['Corinna Martarelli', 'Alex Bertrams', 'Wanja Wolff']"
tw8dq,Test-Retesting the Social Value Orientation Slider Measure,"['Carlos A. de Matos Fernandes', 'Dieko Bakker']"
uygpq,Data and code for The Role of Emotion Regulation and Choice Repetition Bias in the Ultimatum Game,['Justin Chung']
vjeb3,"Data and Code for ""Older Barbary macaques show limited capacity for self-regulation to avoid hazardous social interactions""","['Julia Fischer', 'Eva-Maria Rathke', 'Roger Mundry']"
vphyt,Effects of the COVID-19 Pandemic on Reading Performance of Second Grade Children in Germany,"['Natalie Förster', 'Boris Forthmann', 'Mitja Back', 'Elmar Souvignier']"
vtb9e,PowerLAPIM: An Application to Conduct Power Analysis for Longitudinal Actor-Partner Interdependence Models that Include Quadratic Effects,"['Ginette Lafit', 'Laura Sels', 'Janne Adolf', 'Tom Loeys', 'Eva Ceulemans']"
w4gey,Legacy media as inhibitors and drivers of public reservations against science: Global survey evidence on the link between media use and anti-science attitudes,['Niels G. Mede']
wbyj7,Speed-Accuracy Tradeoffs In Decision Making: Perception Shifts And Goal Activation Bias Decision Thresholds,['Guy Hawkins']
wcqpa,Dataset and R code for: Suicidal risk and impulsivity-related traits among young Argentinean college students during a quarantine of up to 103-days duration: Longitudinal evidence from the COVID-19 pandemic,['Lorena Cecilia López Steinmetz']
wgneh,Overlap in Meaning Is a Stronger Predictor of Semantic Activation in GPT-3 Than in Humans,"['Jan Digutsch', 'Michal Kosinski']"
x72cy,Laypeople Can Predict Which Social Science Studies Replicate,"['Suzanne Hoogeveen', 'Alexandra Sarafoglou', 'Eric-Jan Wagenmakers']"
x8vyw,Mapping out particle placement in Englishes around the world,"['Jason Grafmiller', 'Benedikt Szmrecsanyi']"
xcthg,Fandom biases retrospective judgments not perception,"['Markus Huff', 'Frank Papenmeier', 'Annika Maurer', 'Tino Meitz', 'Bärbel Garsoffky', 'Stephan Schwan']"
xh36s,Manipulating Free Will Beliefs using online video games,"['Nel Tavernier', 'David Wisniewski']"
xwp2d,OSID,['Steven Glautier']
yhmbd,Cognitio populi — Vox populi: Implications of science-related populism for communication behavior,"['Niels G. Mede', 'Mike S. Schäfer', 'Julia Metag']"
ynx3m,Women of the Conversion Period,"['Sam Leggett', 'Helena Hamerow', 'Hannah Wilson']"
zcv4m,"Is cooperative memory special? The role of costly errors, context, and social network size when remembering cooperative actions",['Jeffrey R Stevens']
zh3f4,Blinded with Science or Informed by Charts? A Replication Study,"['Pierre Dragicevic', 'Yvonne Jansen']"
ztycp,Psychometrics of the Schizotypal Ambivalence Scale (SAS),"['Lauren Deters', 'Paul Silvia', 'Thomas Kwapil']"
